team,nationality,position,age,potential,name
FC Barcelona ,Argentina,Delantero Centro|Media Punta|Extremo Derecho,33,Sobresaliente,Lionel Messi
Juventus ,Portugal,Delantero Centro|Extremo Izquierdo,35,Sobresaliente,Cristiano Ronaldo
Paris Saint-Germain ,Brazil,Medio Centro Ofensivo|Extremo Izquierdo,28,Sobresaliente,Neymar Jr
Liverpool ,Netherlands,Defensa Central,29,Sobresaliente,Virgil van Dijk
Atlético Madrid ,Slovenia,Portero,27,Sobresaliente,Jan Oblak
Manchester City ,Belgium,Medio Centro|Medio Centro Ofensivo,29,Sobresaliente,Kevin De Bruyne
FC Bayern München ,Poland,Delantero Centro,31,Sobresaliente,Robert Lewandowski
Real Madrid ,Belgium,Delantero Centro|Extremo Izquierdo,29,Sobresaliente,Eden Hazard
Liverpool ,Brazil,Portero,27,Sobresaliente,Alisson
Liverpool ,Egypt,Delantero Centro|Extremo Derecho,28,Sobresaliente,Mohamed Salah
Liverpool ,Senegal,Extremo Izquierdo,28,Sobresaliente,Sadio Mané
FC Barcelona ,Germany,Portero,28,Sobresaliente,Marc-André ter Stegen
Manchester City ,Argentina,Delantero Centro,32,Sobresaliente,Sergio Agüero
Paris Saint-Germain ,France,Delantero Centro|Extremo Derecho|Extremo Izquierdo,21,Sobresaliente,Kylian Mbappé
Tottenham Hotspur ,England,Delantero Centro,27,Sobresaliente,Harry Kane
Manchester City ,Brazil,Portero,26,Sobresaliente,Ederson
Manchester City ,England,Extremo Derecho|Extremo Izquierdo,25,Sobresaliente,Raheem Sterling
Napoli ,Senegal,Defensa Central,29,Sobresaliente,Kalidou Koulibaly
Manchester City ,Portugal,Medio Centro|Medio Centro Ofensivo|Extremo Derecho,25,Sobresaliente,Bernardo Silva
FC Bayern München ,Germany,Lateral Derecho|Medio Centro Defensivo|Medio Centro,25,Sobresaliente,Joshua Kimmich
Manchester City ,France,Defensa Central,26,Sobresaliente,Aymeric Laporte
Juventus ,Argentina,Medio Centro Ofensivo|Media Punta,26,Sobresaliente,Paulo Dybala
Borussia Dortmund ,England,Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo,20,Sobresaliente,Jadon Sancho
Inter ,Slovakia,Defensa Central,25,Sobresaliente,Milan Škriniar
FC Barcelona ,Netherlands,Medio Centro,23,Sobresaliente,Frenkie de Jong
Manchester City ,Germany,Extremo Izquierdo,24,Sobresaliente,Leroy Sané
FC Barcelona ,France,Defensa Central,25,Sobresaliente,Clément Lenglet
Paris Saint-Germain ,Brazil,Defensa Central|Medio Centro Defensivo,26,Sobresaliente,Marquinhos
Juventus ,Netherlands,Defensa Central,20,Sobresaliente,Matthijs de Ligt
Liverpool ,England,Lateral Derecho,21,Sobresaliente,Trent Alexander-Arnold
FC Barcelona ,Brazil,Medio Centro,23,Sobresaliente,Arthur
Milan ,Italy,Portero,21,Sobresaliente,Gianluigi Donnarumma
Lazio ,Serbia,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,25,Sobresaliente,Sergej Milinkovic-Savic
FC Bayern München ,Germany,Defensa Central,24,Sobresaliente,Niklas Süle
Bayer 04 Leverkusen ,Germany,Medio Derecho|Medio Centro Ofensivo,21,Sobresaliente,Kai Havertz
Inter ,Argentina,Delantero Centro,22,Sobresaliente,Lautaro Martínez
FC Barcelona ,France,Extremo Derecho|Extremo Izquierdo,23,Sobresaliente,Ousmane Dembélé
Real Madrid ,Uruguay,Medio Centro Defensivo|Medio Centro,22,Sobresaliente,Federico Valverde
Atlético Madrid ,Portugal,Delantero Centro|Medio Izquierdo|Media Punta,20,Sobresaliente,João Félix
Borussia Dortmund ,Norway,Delantero Centro,20,Sobresaliente,Erling Braut Haaland
Real Madrid ,Brazil,Extremo Izquierdo,20,Sobresaliente,Vinícius Jr.
Real Madrid ,Brazil,Extremo Derecho|Extremo Izquierdo,19,Sobresaliente,Rodrygo
Brescia ,Italy,Medio Centro Defensivo|Medio Centro,20,Sobresaliente,Sandro Tonali
FC Barcelona ,Spain,Extremo Derecho|Extremo Izquierdo,17,Sobresaliente,Ansu Fati
Real Madrid ,Brazil,Medio Centro Ofensivo|Media Punta,18,Sobresaliente,Reinier
Chelsea ,France,Medio Centro Defensivo|Medio Centro,29,Muy bueno,N'Golo Kanté
FC Barcelona ,France,Delantero Centro|Media Punta|Extremo Izquierdo,29,Muy bueno,Antoine Griezmann
Real Madrid ,Germany,Medio Centro,30,Muy bueno,Toni Kroos
Real Madrid ,Croatia,Medio Centro,34,Muy bueno,Luka Modric
FC Barcelona ,Uruguay,Delantero Centro,33,Muy bueno,Luis Suárez
FC Bayern München ,Germany,Portero,34,Muy bueno,Manuel Neuer
Real Madrid ,Spain,Defensa Central,34,Muy bueno,Sergio Ramos
Liverpool ,Brazil,Media Punta,28,Muy bueno,Roberto Firmino
Real Madrid ,Brazil,Medio Centro Defensivo,28,Muy bueno,Casemiro
Manchester United ,Spain,Portero,29,Muy bueno,De Gea
Real Madrid ,Belgium,Portero,28,Muy bueno,Thibaut Courtois
FC Barcelona ,Spain,Medio Centro Defensivo,32,Muy bueno,Sergio Busquets
Arsenal ,Gabon,Delantero Centro|Medio Izquierdo,31,Muy bueno,Pierre-Emerick Aubameyang
Real Madrid ,France,Delantero Centro|Media Punta,32,Muy bueno,Karim Benzema
Inter ,Slovenia,Portero,36,Muy bueno,Samir Handanovic
FC Barcelona ,Spain,Defensa Central,33,Muy bueno,Piqué
Juventus ,Italy,Defensa Central,35,Muy bueno,Giorgio Chiellini
Tottenham Hotspur ,Korea Republic,Medio Izquierdo|Media Punta,28,Muy bueno,Heung Min Son
Paris Saint-Germain ,Italy,Medio Centro Defensivo|Medio Centro,27,Muy bueno,Marco Verratti
Manchester United ,France,Medio Centro Defensivo|Medio Centro,27,Muy bueno,Paul Pogba
Paris Saint-Germain ,Costa Rica,Portero,33,Muy bueno,Keylor Navas
Lazio ,Italy,Delantero Centro,30,Muy bueno,Ciro Immobile
Inter ,Denmark,Medio Derecho|Medio Centro|Medio Centro Ofensivo,28,Muy bueno,Christian Eriksen
Valencia CF ,Spain,Medio Centro,31,Muy bueno,Parejo
Borussia Dortmund ,Germany,Medio Centro Ofensivo|Media Punta,31,Muy bueno,Marco Reus
Juventus ,Poland,Portero,30,Muy bueno,Wojciech Szczesny
Paris Saint-Germain ,Argentina,Extremo Derecho|Extremo Izquierdo,32,Muy bueno,Ángel Di María
Inter ,Uruguay,Defensa Central,34,Muy bueno,Diego Godín
Borussia Dortmund ,Germany,Defensa Central,31,Muy bueno,Mats Hummels
Napoli ,Belgium,Delantero Centro|Media Punta,33,Muy bueno,Dries Mertens
Manchester City ,Spain,Medio Centro|Medio Centro Ofensivo,34,Muy bueno,David Silva
Tottenham Hotspur ,France,Portero,33,Muy bueno,Hugo Lloris
Paris Saint-Germain ,Brazil,Defensa Central,35,Muy bueno,Thiago Silva
Liverpool ,Scotland,LB,26,Muy bueno,Andrew Robertson
Manchester United ,Portugal,Medio Centro|Medio Centro Ofensivo,25,Muy bueno,Bruno Fernandes
RB Leipzig ,Germany,Delantero Centro,24,Muy bueno,Timo Werner
Liverpool ,Brazil,Medio Centro Defensivo,26,Muy bueno,Fabinho
Leicester City ,England,Delantero Centro,33,Muy bueno,Jamie Vardy
Ajax ,Morocco,Medio Centro Ofensivo|Extremo Derecho,27,Muy bueno,Hakim Ziyech
Manchester City ,Algeria,Medio Derecho|Extremo Derecho,29,Muy bueno,Riyad Mahrez
Real Madrid ,France,Defensa Central,27,Muy bueno,Raphaël Varane
Paris Saint-Germain ,Argentina,Delantero Centro,27,Muy bueno,Mauro Icardi
Napoli ,Italy,Medio Izquierdo|Media Punta|Extremo Izquierdo,29,Muy bueno,Lorenzo Insigne
Atlético Madrid ,Spain,Medio Derecho|Medio Izquierdo|Medio Centro,28,Muy bueno,Koke
Inter ,Belgium,Delantero Centro,27,Muy bueno,Romelu Lukaku
FC Bayern München ,Spain,Medio Centro Defensivo|Medio Centro,29,Muy bueno,Thiago
FC Barcelona ,Spain,LB,31,Muy bueno,Jordi Alba
Juventus ,Italy,Defensa Central,33,Muy bueno,Leonardo Bonucci
Tottenham Hotspur ,Belgium,Defensa Central,31,Muy bueno,Toby Alderweireld
Juventus ,Bosnia & Herzegovina,Medio Centro Defensivo|Medio Centro,30,Muy bueno,Miralem Pjanic
Paris Saint-Germain ,Uruguay,Delantero Centro,33,Muy bueno,Edinson Cavani
Borussia Mönchengladbach ,Switzerland,Portero,31,Muy bueno,Yann Sommer
Atalanta ,Argentina,Delantero Centro|Medio Centro Ofensivo|Media Punta,32,Muy bueno,Alejandro Gómez
Manchester City ,Spain,Medio Centro Defensivo|Medio Centro,24,Muy bueno,Rodri
Ajax ,Cameroon,Portero,24,Muy bueno,André Onana
Real Betis ,France,Delantero Centro|Medio Derecho|Medio Centro Ofensivo,27,Muy bueno,Nabil Fekir
Atlético Madrid ,Uruguay,Defensa Central,25,Muy bueno,José María Giménez
Atlético Madrid ,Spain,LB|Medio Izquierdo|Medio Centro,25,Muy bueno,Saúl
FC Bayern München ,Germany,Medio Derecho|Medio Izquierdo|Extremo Derecho,25,Muy bueno,Serge Gnabry
FC Barcelona ,France,Defensa Central,26,Muy bueno,Samuel Umtiti
Real Madrid ,Spain,Lateral Derecho,28,Muy bueno,Carvajal
Lazio ,Spain,Medio Centro|Medio Centro Ofensivo|Media Punta,27,Muy bueno,Luis Alberto
Inter ,Netherlands,Defensa Central,28,Muy bueno,Stefan de Vrij
SL Benfica ,Portugal,Medio Derecho|Medio Centro,30,Muy bueno,Pizzi
Real Madrid ,Spain,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,28,Muy bueno,Isco
RC Celta ,Spain,Delantero Centro|Extremo Derecho,32,Muy bueno,Iago Aspas
Arsenal ,Germany,Portero,28,Muy bueno,Bernd Leno
FC Bayern München ,Germany,Medio Derecho|Medio Centro Ofensivo|Extremo Derecho,30,Muy bueno,Thomas Müller
FC Bayern München ,Brazil,Medio Centro|Medio Centro Ofensivo|Extremo Izquierdo,28,Muy bueno,Coutinho
Borussia Dortmund ,Switzerland,Portero,29,Muy bueno,Roman Bürki
Guangzhou Evergrande Taobao FC ,Brazil,Medio Centro Defensivo|Medio Centro|Medio Centro Ofensivo,32,Muy bueno,Paulinho
RB Leipzig ,Hungary,Portero,30,Muy bueno,Péter Gulácsi
Liverpool ,England,Medio Centro Defensivo|Medio Centro,30,Muy bueno,Jordan Henderson
Liverpool ,Netherlands,Medio Centro Defensivo|Medio Centro,29,Muy bueno,Georginio Wijnaldum
Borussia Dortmund ,Belgium,Medio Centro Defensivo|Medio Centro,31,Muy bueno,Axel Witsel
Real Madrid ,Wales,Delantero Centro|Extremo Derecho|Extremo Izquierdo,31,Muy bueno,Gareth Bale
Tottenham Hotspur ,Belgium,LB|Defensa Central,33,Muy bueno,Jan Vertonghen
FC Barcelona ,Croatia,Medio Centro,32,Muy bueno,Ivan Rakitic
Juventus ,Argentina,Delantero Centro,32,Muy bueno,Gonzalo Higuaín
Manchester City ,Brazil,Defensa Central|Medio Centro Defensivo,35,Muy bueno,Fernandinho
