Year,Volcanic Explosivity Index,Volcano Type,Flag Tsunami,Flag Earthquake,Name and country
1280,6.0,Caldera,False,False,Quilotoa (Ecuador)
1540,4.0,Domo de lava,True,False,Augustine (United States)
1660,6.0,Volcan complejo,True,False,Long Island (Papua New Guinea)
1858,¿?,Estratovolcan,False,True,Tate-yama (Japan)
1864,2.0,Estratovolcan,False,False,Kelut (Indonesia)
1873,2.0,Estratovolcan,False,False,Ragang (Philippines)
1902,3.0,Estratovolcan,False,False,Tori-shima (Japan)
1907,2.0,Volcan en escudo,False,False,Alayta (Ethiopia)
1909,2.0,Estratovolcan,False,False,Semeru (Indonesia)
1919,4.0,Estratovolcan,False,False,Kelut (Indonesia)
1919,¿?,Estratovolcan,False,False,Nasu (Japan)
1920,3.0,Estratovolcan,False,False,Izalco (El Salvador)
1938,¿?,Estratovolcan,False,False,Bandai (Japan)
1949,3.0,Estratovolcan,False,False,Villarrica (Chile)
1963,3.0,Estratovolcan,False,False,Fuego (Guatemala)
1968,3.0,Estratovolcan,False,False,Mayon (Philippines)
1985,3.0,Estratovolcan,False,False,Semeru (Indonesia)
1992,2.0,Volcan complejo,False,False,Marapi (Indonesia)
2001,2.0,Estratovolcan,False,False,Stromboli (Italy)
2004,4.0,Estratovolcan,False,False,Manam (Papua New Guinea)
2010,¿?,Estratovolcan,True,True,Sarigan (United States)
2018,2.0,Estratovolcan,False,True,Etna (Italy)
2020,¿?,Estratovolcan,False,False,Taal (Philippines)
1357,4.0,Volcan subglacial,False,False,Katla (Iceland)
1586,5.0,Estratovolcan,False,False,Kelut (Indonesia)
1730,¿?,Cono piroclastico,False,False,Tseax River Cone (Canada)
1823,0.0,Volcan en escudo,False,False,Kilauea (United States)
1832,3.0,Estratovolcan,False,False,Merapi (Indonesia)
1838,2.0,Estratovolcan,False,False,Gamalama (Indonesia)
1858,2.0,Estratovolcan,False,False,Mayon (Philippines)
1872,3.0,Caldera,False,False,Aso (Japan)
1879,2.0,Estratovolcan,True,False,Stromboli (Italy)
1893,2.0,Estratovolcan,False,False,Azuma (Japan)
1918,3.0,Volcan submarino,True,False,Banua Wuhu (Indonesia)
1940,2.0,Estratovolcan,False,False,Miyake-jima (Japan)
1966,3.0,Estratovolcan,True,False,Tinakula (Solomon Is.)
1970,3.0,Estratovolcan,False,False,Hekla (Iceland)
1974,4.0,Estratovolcan,False,False,Fuego (Guatemala)
1975,2.0,Volcan complejo,False,False,Marapi (Indonesia)
1977,1.0,Caldera,False,False,Krafla (Iceland)
1984,¿?,Volcan complejo,False,False,On-take (Japan)
1989,¿?,Caldera,False,False,Aso (Japan)
1991,¿?,Volcan complejo,False,False,Mutnovsky (Russia)
1991,5.0,Estratovolcan,False,False,"Hudson, Cerro (Chile)"
1992,¿?,Volcan complejo,False,False,Dieng Volc Complex (Indonesia)
1993,2.0,Estratovolcan,False,False,Mayon (Philippines)
1995,¿?,Volcan complejo,False,False,Kelimutu (Indonesia)
2015,¿?,Domo de lava,False,False,Okataina (New Zealand)
2018,¿?,Estratovolcan,True,False,Kadovar (Papua New Guinea)
-1750,6.0,Estratovolcan,False,False,Veniaminof (United States)
847,6.0,Estratovolcan,False,False,Bona-Churchill (United States)
930,6.0,Estratovolcan,False,False,Ceboruco (Mexico)
1158,4.0,Estratovolcan,False,False,Hekla (Iceland)
1329,1.0,Estratovolcan,False,False,Etna (Italy)
1510,4.0,Estratovolcan,False,False,Hekla (Iceland)
1615,3.0,Caldera,False,False,Banda Api (Pacific Ocean)
1617,3.0,Estratovolcan,False,False,Fuego (Guatemala)
1646,4.0,Estratovolcan,False,False,Makian (Indonesia)
1677,2.0,Estratovolcan,False,False,La Palma (Spain)
1784,0.0,Volcan en escudo,False,False,Hualalai (United States)
1800,5.0,Estratovolcan,False,False,St. Helens (United States)
1820,2.0,Caldera,False,False,Banda Api (Pacific Ocean)
1827,2.0,Estratovolcan,True,True,Avachinsky (Russia)
1843,2.0,Estratovolcan,False,False,Etna (Italy)
1847,2.0,Volcan complejo,False,False,Dieng Volc Complex (Indonesia)
1857,¿?,Volcan complejo,True,True,Umboi (Papua New Guinea)
1866,2.0,Volcan en escudo,True,False,Ofu-Olosega (United States)
1870,2.0,Estratovolcan,False,False,Ruang (Indonesia)
1870,3.0,Volcan complejo,False,False,Iliwerung (Indonesia)
1885,3.0,Estratovolcan,False,True,Purace (Colombia)
1897,2.0,Estratovolcan,True,False,Tinakula (Solomon Is.)
1902,4.0,Estratovolcan,True,False,Soufriere St. Vincent (St. Vincent & the Grenadines)
1903,¿?,Volcan en escudo,False,False,Karthala (Comoros)
1932,3.0,Estratovolcan,False,False,Kusatsu-Shirane (Japan)
1951,2.0,Volcan submarino,True,False,Kavachi (Solomon Is.)
1971,¿?,Estratovolcan,False,False,Kusatsu-Shirane (Japan)
1991,1.0,Estratovolcan,False,False,Lokon-Empung (Indonesia)
1995,3.0,Volcan complejo,False,False,Pacaya (Guatemala)
1998,¿?,Volcan en escudo,False,False,Kilauea (United States)
1999,2.0,Estratovolcan,False,False,Fuego (Guatemala)
2011,3.0,Estratovolcan,False,False,Gamalama (Indonesia)
2017,¿?,Estratovolcan,False,False,Sinabung (Indonesia)
-1890,6.0,Estratovolcan,False,False,"Hudson, Cerro (Chile)"
-455,4.0,Estratovolcan,False,False,Cotopaxi (Ecuador)
240,6.0,Estratovolcan,False,False,Ksudach (Russia)
1362,5.0,Estratovolcan,False,False,Oraefajokull (Iceland)
1385,3.0,Estratovolcan,False,False,Kelut (Indonesia)
1630,4.0,Estratovolcan,False,False,Furnas (Portugal)
1669,3.0,Estratovolcan,False,True,Etna (Italy)
1670,2.0,Volcan en escudo,False,False,Aoba (Vanuatu)
1690,3.0,Volcan complejo,False,False,Guntur (Indonesia)
1766,3.0,Estratovolcan,False,False,Mayon (Philippines)
1780,3.0,Estratovolcan,False,False,Aoga-shima (Japan)
1784,4.0,Caldera,False,False,Grimsvotn (Iceland)
1890,2.0,Estratovolcan,False,False,Victory (Papua New Guinea)
1913,1.0,Volcan complejo,False,False,Asama (Japan)
1926,3.0,Estratovolcan,False,False,Tokachi (Japan)
1932,4.0,Estratovolcan,False,False,Fuego (Guatemala)
1964,2.0,Estratovolcan,False,False,Villarrica (Chile)
1967,3.0,Caldera,True,False,Deception Island (Antarctica)
1974,2.0,Estratovolcan,False,False,Merapi (Indonesia)
1977,1.0,Estratovolcan,False,False,"Nyiragongo (Congo, DRC)"
1988,3.0,Estratovolcan,False,False,Lonquimay (Chile)
1991,1.0,Volcan complejo,False,False,Unzen (Japan)
1993,1.0,Estratovolcan,False,False,Guagua Pichincha (Ecuador)
2008,3.0,Estratovolcan,False,False,Tungurahua (Ecuador)
2011,3.0,Estratovolcan,False,False,Nabro (Eritrea)
2013,¿?,Estratovolcan,False,False,Ubinas (Peru)
2014,¿?,Estratovolcan,False,False,Sinabung (Indonesia)
2015,¿?,Estratovolcan,False,False,Sinabung (Indonesia)
416,¿?,Caldera,True,False,Krakatau (Indonesia)
1311,3.0,Estratovolcan,False,False,Kelut (Indonesia)
1410,3.0,Estratovolcan,False,False,Nasu (Japan)
1672,2.0,Estratovolcan,False,False,Fayal (Portugal)
1780,¿?,Estratovolcan,True,False,Sakura-jima (Japan)
1800,2.0,Estratovolcan,False,False,Kieyo (Tanzania)
1803,2.0,Volcan complejo,False,False,Asama (Japan)
1894,3.0,Escudo piroclastico,False,False,Ambrym (Vanuatu)
1910,2.0,Estratovolcan,False,False,Usu (Japan)
1911,2.0,Volcan complejo,False,False,Asama (Japan)
1917,3.0,Estratovolcan,False,True,San Salvador (El Salvador)
1923,¿?,Estratovolcan,False,False,Tangkubanparahu (Indonesia)
1923,2.0,Volcan en escudo,False,False,Kirishima (Japan)
1929,4.0,Estratovolcan,False,False,Komaga-take (Japan)
1929,3.0,Estratovolcan,False,False,Santa Maria (Guatemala)
1939,1.0,Volcan submarino,True,False,Kick-'em-Jenny (Netherlands)
1951,3.0,Estratovolcan,False,False,Kelut (Indonesia)
1966,4.0,Estratovolcan,False,False,Awu (Indonesia)
1971,2.0,Estratovolcan,False,False,Villarrica (Chile)
1974,2.0,Domo de lava,False,False,Niigata-Yake-yama (Japan)
1977,0.0,Volcan en escudo,False,False,Karthala (Comoros)
1978,2.0,Estratovolcan,False,False,Bulusan (Philippines)
1982,5.0,Cono de toba,False,False,"Chichon, El (Mexico)"
1986,¿?,Volcan complejo,False,False,Akita-Yake-yama (Japan)
2001,2.0,Estratovolcan,False,False,Etna (Italy)
2018,1.0,Volcan en escudo,False,False,Kilauea (United States)
-1645,6.0,Caldera,False,False,Aniakchak (United States)
1636,3.0,Estratovolcan,False,False,Hekla (Iceland)
1669,3.0,Estratovolcan,False,False,Etna (Italy)
1698,3.0,Volcan complejo,True,False,Vesuvius (Italy)
1706,2.0,Estratovolcan,True,False,Tenerife (Spain)
1707,4.0,Estratovolcan,False,True,Fuji (Japan)
1826,2.0,Volcan complejo,False,False,Dieng Volc Complex (Indonesia)
1832,2.0,Estratovolcan,False,False,Etna (Italy)
1835,5.0,Estratovolcan,False,False,Cosiguina (Nicaragua)
1860,¿?,Caldera,False,False,Grimsvotn (Iceland)
1871,2.0,Estratovolcan,False,False,Gamalama (Indonesia)
1872,4.0,Estratovolcan,False,False,Sinarka (Russia)
1899,4.0,Estratovolcan,False,False,Dona Juana (Colombia)
1905,2.0,Volcan complejo,False,False,Vesuvius (Italy)
1924,2.0,Volcan en escudo,False,False,Kilauea (United States)
1931,3.0,Volcan complejo,False,False,Asama (Japan)
1947,2.0,Estratovolcan,False,False,Mayon (Philippines)
1957,2.0,Estratovolcan,False,True,Vsevidof (United States)
1963,2.0,Caldera,False,False,Batur (Indonesia)
1967,3.0,Estratovolcan,False,False,"Lengai, Ol Doinyo (Tanzania)"
1969,3.0,Estratovolcan,False,False,Iya (Indonesia)
1988,3.0,Estratovolcan,False,False,Semeru (Indonesia)
1990,2.0,Caldera,False,False,Aso (Japan)
1994,¿?,Estratovolcan,False,True,Huila (Colombia)
1999,4.0,Estratovolcan,False,False,Shiveluch (Russia)
1999,3.0,Estratovolcan,False,False,Tungurahua (Ecuador)
2019,2.0,Estratovolcan,False,False,White Island (New Zealand)
920,4.0,Volcan subglacial,False,False,Katla (Iceland)
1104,5.0,Estratovolcan,False,False,Hekla (Iceland)
1151,1.0,Filas de crateres,False,False,Krisuvik (Iceland)
1206,2.0,Estratovolcan,False,False,Hekla (Iceland)
1329,3.0,Estratovolcan,True,True,Etna (Italy)
1485,2.0,Caldera,False,False,Aso (Japan)
1550,3.0,Volcan complejo,False,False,Dukono (Indonesia)
1576,3.0,Estratovolcan,False,False,Colima (Mexico)
1580,4.0,Volcan subglacial,False,False,Katla (Iceland)
1598,2.0,Volcan complejo,False,False,Asama (Japan)
1730,2.0,Respiradero de fisura,False,False,Lanzarote (Spain)
1772,3.0,Estratovolcan,False,False,Papandayan (Indonesia)
1781,4.0,Estratovolcan,True,False,Sakura-jima (Japan)
1826,2.0,Caldera,False,False,Aso (Japan)
1840,0.0,Volcan en escudo,True,False,Kilauea (United States)
1840,3.0,Estratovolcan,False,False,Savo (Solomon Is.)
1850,2.0,Escudo piroclastico,False,False,Rabaul (Papua New Guinea)
1858,¿?,Estratovolcan,False,False,Tate-yama (Japan)
1883,2.0,Volcan en escudo,False,False,Karthala (Comoros)
1887,3.0,Estratovolcan,False,False,Mayon (Philippines)
1890,2.0,Estratovolcan,False,False,Makian (Indonesia)
1902,4.0,Estratovolcan,True,False,Pelee (Martinique)
1902,6.0,Estratovolcan,False,False,Santa Maria (Guatemala)
1936,3.0,Volcan complejo,False,False,Asama (Japan)
1937,2.0,Estratovolcan,False,False,Llaima (Chile)
1943,3.0,Volcan en escudo,False,False,"Azul, Cerro (Ecuador)"
1951,4.0,Estratovolcan,False,False,Lamington (Papua New Guinea)
1970,¿?,Caldera,False,False,Campi Flegrei (Italy)
1981,3.0,Estratovolcan,False,False,Semeru (Indonesia)
1983,1.0,Volcan complejo,True,False,Iliwerung (Indonesia)
1985,1.0,Estratovolcan,False,False,Etna (Italy)
1990,3.0,Estratovolcan,False,False,Sabancaya (Peru)
1990,¿?,Estratovolcan,False,False,"Nyiragongo (Congo, DRC)"
1997,3.0,Estratovolcan,False,False,Semeru (Indonesia)
1999,3.0,Estratovolcan,True,False,Soufriere Hills (Montserrat)
2000,2.0,Estratovolcan,False,False,Merapi (Indonesia)
1593,5.0,Estratovolcan,False,False,Raung (Indonesia)
1609,¿?,Cono piroclastico,False,False,Tengchong (China)
1692,4.0,Estratovolcan,False,False,Serua (Pacific Ocean)
1718,2.0,Estratovolcan,False,False,Pico (Portugal)
1846,¿?,Caldera,False,False,Taupo (New Zealand)
1866,2.0,Volcan en escudo,False,False,Santorini (Greece)
1877,0.0,Volcan en escudo,True,True,Mauna Loa (United States)
1883,3.0,Cono de lava,False,False,Bagana (Papua New Guinea)
1886,4.0,Volcan en escudo,False,False,Niuafo'ou (Tonga)
1896,2.0,Volcan en escudo,False,False,Kirishima (Japan)
1902,4.0,Estratovolcan,True,False,Pelee (Martinique)
1914,¿?,Volcan en escudo,False,False,Aoba (Vanuatu)
1923,1.0,Estratovolcan,False,False,Papandayan (Indonesia)
1928,2.0,Volcan en escudo,False,False,Santorini (Greece)
1947,¿?,Estratovolcan,False,False,Akagi (Japan)
1963,5.0,Estratovolcan,True,False,Agung (Indonesia)
1963,2.0,Estratovolcan,False,False,Semeru (Indonesia)
1965,4.0,Estratovolcan,True,False,Taal (Philippines)
1973,3.0,Volcan submarino,False,False,Vestmannaeyjar (Iceland)
1974,3.0,Estratovolcan,False,False,Karangetang [Api Siau] (Indonesia)
1975,0.0,Volcan en escudo,True,True,Kilauea (United States)
1982,5.0,Cono de toba,False,False,"Chichon, El (Mexico)"
1986,3.0,Maar,False,False,Oku Volc Field (Cameroon)
1992,3.0,Estratovolcan,False,False,Semeru (Indonesia)
1994,3.0,Estratovolcan,False,False,Yasur (Vanuatu)
1998,¿?,Estratovolcan,False,False,San Cristobal (Nicaragua)
2004,2.0,Estratovolcan,False,False,Tengger Caldera (Indonesia)
2007,¿?,Estratovolcan,False,False,Huila (Colombia)
2008,¿?,Caldera,False,False,Chaiten (Chile)
2008,3.0,Estratovolcan,True,False,Kasatochi (United States)
2017,¿?,Estratovolcan,False,False,Merapi (Indonesia)
-1610,7.0,Volcan en escudo,True,True,Santorini (Greece)
-150,¿?,Volcan complejo,False,False,St. Andrew Strait (Papua New Guinea)
-100,6.0,Volcan en escudo,False,False,Okmok (United States)
1341,3.0,Estratovolcan,False,False,Hekla (Iceland)
1430,¿?,Caldera,False,False,Kuwae (Vanuatu)
1510,4.0,Estratovolcan,False,False,Hekla (Iceland)
1580,6.0,Escudo piroclastico,False,False,Billy Mitchell (Papua New Guinea)
1698,3.0,Estratovolcan,False,False,Cereme (Indonesia)
1716,4.0,Estratovolcan,True,True,Taal (Philippines)
1717,3.0,Estratovolcan,False,False,Fuego (Guatemala)
1721,5.0,Volcan subglacial,False,False,Katla (Iceland)
1819,¿?,Estratovolcan,True,False,Asuncion (United States)
1845,3.0,Estratovolcan,False,False,Ruiz (Colombia)
1895,2.0,Volcan en escudo,False,False,Kirishima (Japan)
1901,¿?,Estratovolcan,True,True,Epi (Vanuatu)
1907,0.0,Volcan submarino,True,True,Unnamed (Tonga)
1928,¿?,Caldera,True,False,Krakatau (Indonesia)
1940,2.0,Estratovolcan,False,False,"Lengai, Ol Doinyo (Tanzania)"
1946,2.0,Estratovolcan,False,False,Semeru (Indonesia)
1953,3.0,Estratovolcan,False,False,Merapi (Indonesia)
1954,¿?,Estratovolcan,False,False,Tate-yama (Japan)
1961,2.0,Volcan complejo,False,False,Asama (Japan)
1962,3.0,Estratovolcan,False,False,Tokachi (Japan)
1963,3.0,Estratovolcan,False,True,Agung (Indonesia)
1969,2.0,Volcan compuesto,True,False,Didicas (Philippines)
1997,1.0,Estratovolcan,False,False,Karangetang [Api Siau] (Indonesia)
2000,3.0,Estratovolcan,False,False,Semeru (Indonesia)
2009,¿?,Volcan en escudo,False,False,Kilauea (United States)
2011,¿?,Estratovolcan,False,False,Merapi (Indonesia)
-1900,6.0,Estratovolcan,False,False,Black Peak (United States)
1477,6.0,Estratovolcan,False,False,Bardarbunga (Iceland)
1597,3.0,Estratovolcan,False,False,Raung (Indonesia)
1673,5.0,Estratovolcan,True,False,Gamkonora (Indonesia)
1754,4.0,Estratovolcan,True,True,Taal (Philippines)
1768,4.0,Estratovolcan,False,False,Cotopaxi (Ecuador)
1792,2.0,Volcan complejo,True,True,Unzen (Japan)
1814,4.0,Estratovolcan,False,False,Mayon (Philippines)
1815,7.0,Estratovolcan,True,False,Tambora (Indonesia)
1818,4.0,Estratovolcan,False,False,Colima (Mexico)
1854,3.0,Estratovolcan,True,False,Alaid (Russia)
1863,¿?,Estratovolcan,True,True,Yasur (Vanuatu)
1872,4.0,Estratovolcan,False,False,Merapi (Indonesia)
1884,¿?,Caldera,True,False,Krakatau (Indonesia)
1888,3.0,Estratovolcan,True,False,Ritter Island (Papua New Guinea)
1888,4.0,Estratovolcan,False,False,Bandai (Japan)
1913,2.0,Estratovolcan,False,False,Semeru (Indonesia)
1916,4.0,Estratovolcan,False,False,Tungurahua (Ecuador)
1920,3.0,Estratovolcan,False,False,Merapi (Indonesia)
1946,2.0,Estratovolcan,False,False,Semeru (Indonesia)
1948,2.0,Volcan complejo,False,False,Iliwerung (Indonesia)
1950,3.0,Estratovolcan,False,False,Camiguin (Philippines)
1950,2.0,Volcan complejo,False,False,Asama (Japan)
1951,¿?,Estratovolcan,True,True,Cosiguina (Nicaragua)
1956,5.0,Estratovolcan,True,False,Bezymianny (Russia)
1958,2.0,Caldera,True,False,Kuwae (Vanuatu)
1967,3.0,Estratovolcan,False,False,Semeru (Indonesia)
1974,3.0,Estratovolcan,False,False,Sakura-jima (Japan)
1979,1.0,Volcan complejo,False,False,Dieng Volc Complex (Indonesia)
1984,3.0,Estratovolcan,False,False,Mayon (Philippines)
1988,3.0,Caldera,False,False,Banda Api (Pacific Ocean)
1993,1.0,Caldera,False,False,Krakatau (Indonesia)
1996,2.0,Estratovolcan,True,False,Karymsky (Russia)
1997,¿?,Estratovolcan,True,False,Soufriere Hills (Montserrat)
2006,2.0,Estratovolcan,False,False,Bulusan (Philippines)
