Year;Volcanic Explosivity Index;Volcano Type;Flag Tsunami;Flag Earthquake;Name and country
1280;6;Caldera;F;F;Ecuador (Ecuador)
1540;4;Domo de lava;T;F;Alaska-SW (United States)
1660;6;Volcan complejo;T;F;New Guinea-NE of (Papua New Guinea)
1858;??;Estratovolcan;F;T;Honshu-Japan (Japan)
1864;2;Estratovolcan;F;F;Java (Indonesia)
1873;2;Estratovolcan;F;F;Mindanao-Philippines (Philippines)
1902;3;Estratovolcan;F;F;Izu Is-Japan (Japan)
1907;2;Volcan en escudo;F;F;Africa-NE (Ethiopia)
1909;2;Estratovolcan;F;F;Java (Indonesia)
1919;4;Estratovolcan;F;F;Java (Indonesia)
1919;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1920;3;Estratovolcan;F;F;El Salvador (El Salvador)
1938;??;Estratovolcan;F;F;Honshu-Japan (Japan)
1949;3;Estratovolcan;F;F;Chile-C (Chile)
1963;3;Estratovolcan;F;F;Guatemala (Guatemala)
1968;3;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1985;3;Estratovolcan;F;F;Java (Indonesia)
1992;2;Volcan complejo;F;F;Sumatra (Indonesia)
2001;2;Estratovolcan;F;F;Italy (Italy)
2004;4;Estratovolcan;F;F;New Guinea-NE of (Papua New Guinea)
2010;??;Estratovolcan;T;T;Mariana Is-C Pacific (United States)
2018;2;Estratovolcan;F;T;Italy (Italy)
2020;??;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1357;4;Volcan subglacial;F;F;Iceland-S (Iceland)
1586;5;Estratovolcan;F;F;Java (Indonesia)
1730;??;Cono piroclastico;F;F;Canada (Canada)
1823;0;Volcan en escudo;F;F;Hawaiian Is (United States)
1832;3;Estratovolcan;F;F;Java (Indonesia)
1838;2;Estratovolcan;F;F;Halmahera-Indonesia (Indonesia)
1858;2;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1872;3;Caldera;F;F;Kyushu-Japan (Japan)
1879;2;Estratovolcan;T;F;Italy (Italy)
1893;2;Estratovolcan;F;F;Honshu-Japan (Japan)
1918;3;Volcan submarino;T;F;Sangihe Is-Indonesia (Indonesia)
1940;2;Estratovolcan;F;F;Izu Is-Japan (Japan)
1966;3;Estratovolcan;T;F;Santa Cruz Is-SW Pac (Solomon Is.)
1970;3;Estratovolcan;F;F;Iceland-S (Iceland)
1974;4;Estratovolcan;F;F;Guatemala (Guatemala)
1975;2;Volcan complejo;F;F;Sumatra (Indonesia)
1977;1;Caldera;F;F;Iceland-NE (Iceland)
1984;??;Volcan complejo;F;F;Honshu-Japan (Japan)
1989;??;Caldera;F;F;Kyushu-Japan (Japan)
1991;??;Volcan complejo;F;F;Kamchatka (Russia)
1991;5;Estratovolcan;F;F;Chile-S (Chile)
1992;??;Volcan complejo;F;F;Java (Indonesia)
1993;2;Estratovolcan;F;F;Luzon-Philippines (Philippines)
1995;??;Volcan complejo;F;F;Lesser Sunda Is (Indonesia)
